"d [um]","F_ox []"
1,0.00103364534507348
1.5,0.000705561534890939
2,0.000519188057132015
2.5,0.000422874619704806
3,0.000353771649273494
3.5,0.000299620507184802
4,0.000265318616688724
4.5,0.000236513484858292
5,0.00021423349637535
5.5,0.000194878873073585
6,0.000180292957633351
6.5,0.00016761928305183
7,0.000155867691882025
7.5,0.000146433416829973
8.2,0.000135068760724076
8.5,0.000130902805039145
9,0.000124669134066657
9.5,0.000118533075017801
10,0.000114236490482432
10.5,0.000108668886211845
11,0.000103707374087806
11.5,9.94930096838428E-05
12,9.6776006342208E-05
12.5,9.29665925670976E-05
13,9.03695785629429E-05
13.5,8.68850114942674E-05
14,8.50690166988608E-05
14.5,8.13837351078999E-05
15,8.01705081552495E-05
15.5,7.84529805021515E-05
16,7.57389188371833E-05
16.5,7.27945759520409E-05
17,7.14191917159564E-05
17.5,6.97519688417638E-05
18,6.84532953019265E-05
18.5,6.73323454828752E-05
19,6.60967351046894E-05
19.5,6.51916266195345E-05
20,6.30462138274988E-05
